category,text_cleaned_string
neutral,would love tix velour showentered every contest still havent
negative,first time i`m going home early sucks b single one call
neutral,says passed say hi busy movie task school
negative,hold hours yesterday wo speaking agent hold w phones mins let bashing begin
neutral,love like wareasy begin hard endfiuuhh
negative,set alarm snooze unhappy
neutral,everybody else track stuff show cant usps great small package tracking
negative,said open one
positive,petal tops bliss lily howl moon goddess gal
negative,embossed badges patches superior ones currently using
neutral,guess thats much ask huh
negative,missed guys morning i`m tacoma w kgw start day
positive,finally got wash hair feel much better gotta dry effffffort
neutral,going somewhat town x visitng uncle boyet famm
positive,always look bright side life
neutral,
negative,miss show
neutral,experimenting puppet think wiped drive workstation
neutral,got back week jamming french city meyrueis feel hella replenished
neutral,building websites
negative,argh noo missed killers wossy sucks missed brandon total failure anyone know it`s repeated must investigate
neutral,omj qot home party it`s oo i`m man tired goodniqht happy mother`s day take care god bless
neutral,policy behind changing passengers seating assignments gate
negative,days cancelled flightations driven airports different states spent gas flight
positive,thank goodness also see friday nwkgtsf boom
neutral,min silence mikebrown nyc protesters store ericgarner icantbreathe blacklivesmatter
negative,girls still im tired
neutral,_hope
neutral,said hi u
negative,spent room amp transportation whole flight
positive,megan hanging
negative,dont harry potter emojis please work
negative,picked stuff missed nd time think missed jokes
negative,rip robin washington park library
positive,hey wanda great tweet u many thx info dobro fantastic sound son house fav mine
neutral,ok turn twitter device updates get new battery phone goes fully charged dead hours
positive,_paradise hi dale welcome man hope ur weekend going well think would enjoy desert paradise fun fun fun
neutral,could guys follow dm yall please
positive,ohh sarcasm im proud min worried bad likes rupert australian guy
negative,weve previously deal issue really annoying try reset nvram
neutral,dont think us site allows unlike use us credit held
positive,new happy
positive,beautiful day happy
negative,idk lol head hurts rly bad stomach hmm personally think ive deal wit
positive,_aston welcome twitter let know questions would love help
negative,kinda may chickened
neutral,know considering i`ve bought lot new yarn recently think it`s necessary time
neutral,trying buy new biblebut aren`t samewhy dogs chew
neutral,studio ft one outlet computers need batteries future
negative,dont worry used initiative arriving much earlier planned
neutral,supper tonight kurumi minutes
positive,years moved ibm compatible would love desk call techie
negative,need learn operations sit plane overnight gsp realize theres mech problem delay flight hours
positive,actually swear know lol theres even somewhere counts swearsmuch funwwwcursebirdcom
neutral,let right one aparently drag hell also horrible cat nastiness
negative,uwont allow memake changes online force mesit thru excess phone wait timesampstill insist charging crazy fees thats service
neutral,studio ft one outlet computers need batteries future
negative,tired
positive,headin homerefreshed mind soul justa lil bitbac reality
positive,brown snake bit duck named elvis anyway ahaha elvis soo cutee nicho
positive,what`s great bout called `wonderful love life` god sake wateva
neutral,frak like sunshine like heat headaches shame today lovely otherwise
positive,good morning world
negative,take long send password reset email ipod apple soslow
negative,every single time fly guys delayed least minutes every time flight clt nola
neutral,yeahhh u wasnt thereeeeeeeeeee
negative,yo wake go work go get paper u aint sick dont lie
neutral,vancity holy shizz home soon kids
negative,boredumsong day caught paramore good deed musical wicked oh fully alive flyleaf
negative,fucking hate customer service ive hold morning trying figure cancelled flighted flight
negative,_rashid reeeaaaally though ew hate stockings
negative,continually getting put hold painfully inexperienced people calling platinum desk
negative,
neutral,bonjour sleep well
negative,first natalie little holly mean
negative,transferred x pleeeeeeeease help
positive,finally got graduation gear today i`m excited believe days left aaah sweater cozy
negative,got bullied dillah help
negative,flight cancelled flightled mess ensued please thank awesome marcos concierge key gru sorting
neutral,cleaning room found took wv insisted paying ticket
negative,sunburn
negative,really want marry leighton meester can`t take eyes
neutral,dont iphone maybe next week
neutral,applepay partner stripe valued billion funding aapl
neutral,screw i`m going shopping i`ll back like anyway i`ll hard core revision
positive,im great thank
neutral,studio ft one outlet computers need batteries future
neutral,way switch earlier flight jfk even checked bag
positive,friend dandinella aka danielle yayy havent seen long time missed danii xxoxo
neutral,beer japan google
positive,ok thanks getting twitter yet
positive,cant wait syf results oh goodness
neutral,actually i`ve holed quite nicely hours one times regret never married gotten cat
positive,waking ungodly hours go work starting get old least coffee good
neutral,don`t subject line phone normal texts
negative,bed go dream world walmart liquor stores get blown
neutral,recruiting fall spring internships pm davidson auditorium jsom utdallas
neutral,apparently tv could fixed plus side refunded cost buy new one
negative,guys intentionally trying lose customers money
neutral,ever barre chord
negative,phone broken im lazy go verizon store get new one oh well guess phone awhile aha
neutral,ahhhh sorry followed
positive,love macbookpro best ever
positive,yay tell games get arrange wii dates
positive,thanks
positive,thanks checking
negative,red wtf happened dark blue black stripes
neutral,w edits dear mbas need better benefits work us meet
negative,fix syncdefaultsd crashing every five minutes losing preference settings keep system preferences open
negative,killed everyone nothing ss
positive,need current project one fun amp funky font
negative,well im glad got sit airport place else id rather
neutral,still shopping looking shoes
neutral,lol check video new minute maid commercial
negative,yes lots terrible customer service newark despite raising complaint ignored hence tweet
neutral,done
negative,alexxx im gona miss today im sad noooooooo
negative,yeah either refunding money free round trips compensate trouble put
positive,glad hope yall make back near new orleans
neutral,livery back day
neutral,iphone gb plus
positive,noill look
positive,going take last final wish luck
positive,awww nice thanks course welcome
neutral,people still mail things
negative,nigga phone froze times today amp even tf
negative,flight delayed hour pilots spend hours phone get ep agent phone
negative,want go walking still miss satan
neutral,yulord
neutral,first time twitter
negative,isn`t right need make sorry
positive,awesome blessing
positive,yes
positive,excellent ill take look thanks update
negative,work really sucked past days meeting mon got rescheduled that`s plain evili need new job
negative,bored
positive,come sure drag everyone comes visit see herbert
negative,got fully denied tonight sleep time lnd morn
positive,rofl even kept insurance payments im still like meh good thing applied day job pasy mo
neutral,we`re back buisiness
neutral,anywhere warm cause freezing nyc
neutral,hit leaving conti boooooooo
neutral,yeah i`ve never seen guess i`ve never really needed
positive,moody woods absolutely awesome
negative,yeah guys told call website booked booked website unacceptable
neutral,he`s getting ear tubes hour food
positive,jonas` second episode aww nick handsome
positive,flight booking problems flights dc visit easter weekend started difficult ended well guys big fan
neutral,th post dedicated sarahsunny weatherand love snakes plane bring song died already
neutral,orders sale slice
positive,yup ive said quotif api well dashboard itquot
neutral,aaplhas tim cook wasted billion apple
neutral,sleep wake soooo early
neutral,steve wozniak says starting garage complete myth
neutral,going make
negative,amp wasnt enough staff rude amp ignored passengersdont think accepted whatever reason
positive,aha okay shes going rough night happy
neutral,citizens petition govt make nursing homes come clean
positive,math final wish luck
neutral,others
positive,beer batters good though
negative,ahhhh el store course
negative,come miami sad
negative,lmaaaooooo horrible poor thing
positive,fattuesday great job celebrating mardigras today atlanta airport another reason im nuts
neutral,trying upload one thousand photos
positive,fortunately flight waiting area impressed w handled stressful situation
neutral,fresh fir filed jnu alleging misbehaviour students students accused assault
neutral,i`m waiting get back nambu stopped working
negative,awaiting reply two projects one cancelled
neutral,went see hannah montana movie saturday loved still cant work twitter though
neutral,wish could attend e year small events like nba stanley cup finals keep getting way work work work
positive,able watch online hope yeah belinda jensen really good
neutral,need change monitor
positive,cheer upits going rain later
negative,next flight dont think ill spending anymore money guys ever bad
positive,someone asked hows life smiled replied
neutral,got caught rain people probably gunna watch smallville till fall asleep
negative,jfk one info amp answers boarded plane team awkward spot amp everyone cranky
neutral,_gd whoaa kinda hard one think interesting enough tell
negative,tired sitting delayed computer
positive,watched star trek well done think i`m see wants join
negative,would really like baggage yesterday employees akron giving tough time
negative,crazy night lost keys walked home missed papi`s calls swizzy i`m sad
positive,back home time warp amazingg richie official god omg afterparty ljubljana oleeee ahhah aww jaz bo
neutral,_charlotte another thrown i`m sure one american family
positive,sitting kaust offices sun shining surrounded busy people ace
neutral,need hurry make middle finger emoji
negative,albanyairport delayed departure check bags gate claiming space filled walk open spaces delay poorcustomerservice
positive,theyre busy awesome trying get us asap ill deal
positive,picnic fabulous
neutral,last song really go jbvo
positive,wish one area
positive,like ten times better place xd beautiful fun gold coast hot dogs xd
negative,miss going ek every summer christmas vaca take
positive,basically i`ve listened miley cyrus fourteen hours love
negative,new problem airport boarding pass phone held scanner security applepay credit card takes screen
neutral,playing games leave work work til least pm tonight
positive,yes cant wait hope vip passes help since people already campin hahah
positive,could mine grew back fell
positive,goodmorningnight sleep well
negative,feeling awful new medication making nauseous
negative,moses girlfriend broke
positive,hahaha unfortunately lesbian crush leighton meester xd
negative,won`t kids sleep
neutral,hi bruce trying eat healthy it`s kinda scary read eat maggots rat hair food
negative,hours since dog put sleep rip old friend
positive,hey loved acs see online yet cant wait buy look amazing
positive,hmm admit good episode man bag rather fetching
negative,hold way long best level service provide one hour long
positive,thanks much
positive,playing guitarhallelujah
neutral,k thanks
positive,hey cici sweetheart wanted let u know luv u oh mixtape drop soon fantasy ride may th
negative,unpleasant experience phone one agents cancelled flightled flight name amp agent id
negative,cleantha
negative,tweet weekend bad weather closes customer relations center process refunds cancelled flighted flights
positive,tweetstats wordle amused half hour good times
neutral,tell today it`s last day
neutral,spare tickets vegas would forever grateful destinationdragons
neutral,know hhrs
neutral,going without
negative,flight going cancelled flightled every week might well business class
positive,hey lady coming canada fall i`d love see concert time it`ll st time
positive,props itc app review team reviewing metadata rejected resubmission hours thanks
positive,tried oprahs free unfried kfc loved went back another try topped boba wolverinechilled popedaveben
neutral,macbook pro nonretina first startup via macbook macbookpro startup hipster
negative,storm storm customer service joke hour wait time speak someone never fly airline
positive,happy mother`s day hope awesome time bug
negative,dropped x past hour
negative,said meal flight would airline serves food anymore update policy
negative,landed might want check flight plane houston sound takeoff amp landing
neutral,includes
negative,read day travel change policy
negative,direct number dividend miles account info every time try get actually hung
neutral,john cantlie prisoner isis days show abandoned sign
neutral,found six great vegan places eat relax four can`t get without car
neutral,think flight bna lax get ground tomorrow please snowbama
neutral,remind get take pic blooming clematis wind storm tomorrow
neutral,lax sunrise ual laxjfk
neutral,delayscancellations really bite fair share sympathize hang tough
neutral,urm ouch sucks need crutches happened hope getfeel better soonest
neutral,ur name also naina
negative,ear hurts medicine gum
neutral,ive tried turning whats problem
neutral,hip hop alive well nashville tn
neutral,check review movie fighting hilarious leave guy comment
positive,nice work update
neutral,last day volleyball miss everyone already oh well banquet th hopefully everyones gonna
positive,lucky lucky friend nickleback concert atm wish
neutral,flying hawaii
negative,transferring photos annoying want watch
negative,still called back regarding groundbreaking production sent earlier
negative,hard add meal preferences booked tickets forgot amp impossible even called
negative,take jetblue travel go maimi next year guys dont go maimi dont guys go maimi
negative,flight supposed depart boston departing due issues finding pilot thanks lot
negative,waited mins baggage mdwgtmem inflight service suspended drink
negative,saying truth dont even email
neutral,band work need laptop buy one ill drive shifts forever
positive,plans short haul airline europe would defiantly fly guys
negative,koalas dying thirst us unhappy
positive,wish happy fabulous mother`s day
negative,tried cant get
positive,thanks still booked trip lb slc see grand kids frustrating tried app web etc still love u guys
negative,sigh exams aint wer neaaarr finished next week bin stressd aint guna b bak till end june
positive,doesn`t believe spending many many thousands perfect wedding makes happy couplea happy couple makes perfect wedding
neutral,security audit
negative,philippines unhappy
negative,aww im sorry honey stinks
neutral,daddy wanted buy shoes prettie esspensive nao haff go bearfoot
positive,happy mother`s day american mamas
negative,dying get hands diagnosis murder dvd boxset pesky kids amazon still won`t deliver zimbabwe
neutral,morningany plans today
negative,please send youtube links erin watched cooking didn`t get see cowboys
positive,valentinesday email point amp clever thanks amazing jetblue loveisintheair
negative,_sandman_ _wounds miss guys much
negative,would nice could type one sentence without computer freezing
positive,hahahahaha u look really good ur picture
positive,learnt best
positive,say im lostinlove wour brandmance wemosaictogether mint love
neutral,sent dm w additonal info
neutral,good times haha ily christian mo gonna watch dazed confused ha also first time watching ha im lame
positive,noticed something interesting emoticon vs totally different emotions difference placement eyes
positive,think catch sleep befor go back uni haha goodnight
positive,thank
neutral,hey us followers atl
neutral,aww people must color blind huh random
neutral,aww man arrived howto guideless
positive,movie awesome
positive,_marie hey beautiful whats
negative,jimin yoongi unhappy
neutral,studio ft one outlet computers need batteries future
negative,burned legs x
positive,hey padsterit`s dirt track thx info got miles
negative,cant hire staff helpful informed nice customers
neutral,calcuttas learning chinese
negative,able see clipsepisodes c website america languish reading news stories
negative,ugh trying respond emailsvoicemailsfacebook messages missed town could
neutral,looked email chain one
negative,hard youre younger siblings cousin want go airplane get better
neutral,im sure birds warmer weather soon
neutral,trying work
negative,today day can`t seem feel better dont eat im hungry eat feel like im gonna sick blah
negative,nooo poor cat wants cuddle food hard tell
neutral,team offer inflight access journal digital journal
negative,bad day t_____t gyah car babyclient teething miserable forgot pack lunch get new car
negative,got two thirds new moon three days eclipsethen work assignments sadly dnt write selves
positive,happy board please share details ^kp done
neutral,protesters stage diein protests store nyc anger misplaced retweet agree
positive,awesome watch nominated films feet meetthefleet oscars
negative,obviously corporate definition patience needs reviewedpleasehurryup answerphone reschedulemyflight
negative,missed cutoff free chocolate eh wellbikini season coming
neutral,find thanks
positive,love cobra starship thanks suggestion
positive,second thanks spin much appreciated happy
neutral,dm sent
positive,morning back old self lol
neutral,hmmm skip grocery store head walmart could potentially leave much
negative,chat support working site
positive,got home another wonderful night
neutral,jealousur koi fish getting ur attention i`m notlmao i`m kidding
positive,reason even going haha shaun dead epic haha
negative,im crying poor thing
positive,think good stood
negative,aka take stuff checked bag carry extra weight someone shoulder surgery thats
neutral,maybe going apartment shopping ashley
negative,oh cool ok head laydown put ice heep swelling feel really bad
negative,im grounded tonight hate stupid silent mode
neutral,everyone keep checking demistylesourcecomnew update coming soon
negative,frustrated saw seats avail online pref alt flight unable book online lost seats gt hr phone hold
neutral,
positive,phew away twitter days snowed work miss
positive,_loca thank babe doin evening
negative,yo im trying make change reservation whenever select flight says unable price please help
positive,yeah peeps good day catchup everyone
negative,know they`re trying sort portfolio don`t know put
positive,hope great weekend em say hi fam
negative,mom please stop making cookies
negative,come vancouver throwing stuff onto ice thought canucks supposed polite stuff
neutral,roaming thing happen switched att
neutral,huh another scarepoint coding sunday
negative,loved ones leaving sunday sad
neutral,would great vips acts i`d enjoy seeing noooo
neutral,lol blessed life mama sorry back pain stretches
neutral,perfect way end totally boring day sleep goodnight
neutral,opal dragon book dragon ali woven murdering ways philippines australia
positive,greeting happy mother`s day
negative,flight booking problems cld times select manage flight booking problems months emailed response help
neutral,used nkotb sleeping bag don`t know
negative,happened wierd sudden
positive,new post romantic comedies vs reality plz comment whatever like feedback
positive,aww thanks jon that`s thoughtfulu know make ladies feel special
negative,please tell ill make flight tomorrow ive tryin days leave
negative,found one ankles swolleneeks hurts
negative,protestors taking store really cant find government office something make change
neutral,avatarcamp photos perhaps lol itching see
negative,customer service says since wife setup family account cant join mine year help fix please
negative,waiting airport since wait tomorrow cannot get sort help
positive,ohh beautiful morning imm hooomee
positive,says quotgood luck theory test chelsie im sure youll fine xxxquot
negative,okso i`m twittin computerits gonna bad get phone cause ima lost like
positive,great see redsox plane reminder ny side side jfk catsanddogslivingtogether
negative,lga nashville cancelled flightled phone center help fabulous staff gate helped young men handled crowd well
positive,dude jealous goin buy thurs
positive,oh it`s beautiful i`m happy great time heartz
positive,crew great job keeping everyone informed delays givethemraises
neutral,help
negative,theres nothing love hold hour
neutral,jaydiohead karma musicmonday android looking it`ll
negative,please start acting age stop shortshorts
positive,im glad everythings going good guys
neutral,lives twitter quiet race recovering celebrating ps fem st marathon wow
positive,it`s amazing dvds i`ll put netflix list based trash potential inherent titles
positive,morning warner soon lots go school work hope everyone great day
positive,pancakes lemon sugar thanks
negative,gosh darnit dont know cloud
positive,snapchat happy
positive,morning happy mother`s day miz thank lance
neutral,aww one`s msn
positive,_sweetye hope
negative,problem flight gainesville us airways clt miss connecting flight iad get another flight
neutral,story life
neutral,yup stil work
neutral,ease use better camera syncs witunes smaller looked storm eyeappealing clunky
negative,could lost dog poor girl
neutral,photo novusnovendo eyecandy live like keeps clothes take
negative,six hours even gate agent got fed left us line front empty desk stay classy us air
positive,may th happy star wars day
negative,back matemticas unhappy
neutral,day started bad got better
positive,el paso dealsmay
neutral,dave thanks playing happy birthday nkotb today bday lonely bday today
neutral,even we`re miles miles apart you`re still holding heart days jonas brothers concert experience wcandice
neutral,could bought vespa amount money spent
neutral,hope youre still bae haa man
negative,unable booze friday indeed entire weekend actually hurts
negative,gonna mad hungry get home forgot money
neutral,_daughtry fyi canada cannot see vh preview video
negative,trying go sleep luck think i`m sick
negative,computer turning back help
negative,ipad glitching bad isnt charging wtf
positive,apple earns profit quarter amazon earned lifetime
positive,well best luck
neutral,please reroute oregon womens tennis santa barbara theres supposedly another connection la
negative,talked manager offered pay xs cash originally paid nothanks jetblue ripoff flyunited
negative,bugs attacking laptop
positive,indeed
negative,feeling really bad goofin` knowing really wasn`t meeting dang i`m sorry big `ol mouth
positive,ooh good thank heads bro
negative,umm well go house clubs never go north beach sono idea sorry x defunctlesi club
positive,thanks
neutral,needs texas flag emoji
negative,tolddd thunder ew it`s rainy i`m scared
negative,plans make southwest app android crappy
positive,one freaky movie like quoti got lifequot
negative,cool told cant reroute bags told leave last night needs race
neutral,ontd god
neutral,mine twpp shadez
positive,good morning tweeties
negative,math class ugh rather class act quiz gotta act fast
negative,still waiting
neutral,sc summons home secretaries west bengal
negative,hun okay see alot posts exercising like madnot eating sleeping
positive,everything sorted thanks help excited get home tonight
positive,moon sooooo pretty
positive,lovely degrees right amazing enjoy melting vegas l
negative,done want send screen shot second call minutes
negative,overbooked sxmclt delayed deplaning extra passengers missedconnection forcedovernight clt lodgingfood disappointed
positive,didn`t get lot sleep last night good thing reading
positive,hes definitely fav host ever can`t wait watch rest tomorrow
neutral,get ready unbreakable apple iphone investorplaceaapl
positive,another one popped human congrats nana wan baby iris cutie
positive,guys rock easy quick affordable change flight bestairlineever neverchange
neutral,want enter family pooling contest says website please enter still
neutral,_benson it`s raining wish wasn`t
negative,connect person without wait hours hold still havent able resolve problem
neutral,service aruba permanently discontinued august
neutral,clean room
neutral,google wave presentation i`m impressed it`s nice it`s really
positive,watching steam trains go back forth ravenglass sunny
neutral,_b_judah old vegas
negative,back unhappy
positive,_messages claudia hope works im tweeter
neutral,video finally done wooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
neutral,happy stars wars dayme`s jaja binks ha crappy day outside though ah well makes bit motivation revise
positive,sent thanks vp
neutral,u talking since dnt u trust hurts im good secret keeper
neutral,hehe sure thing
negative,every pair jeans nowadays tight think mah butt gettin big oh
neutral,_marris know i`ll get soon
negative,followers please note taking customer service calls responding helping via soc media dontflyusairways
positive,aaaah ty
negative,respect stress merger one rep reschedulereplane ppl already late flight youcandobetter
negative,son got stung bug first time little finger slightly swollen
positive,dont feel pressured none us expect reply back happy able listen talk
negative,uploading photos cellnothin like true candidness
neutral,home alone hw
positive,days work left forever travelling europe
neutral,thats im saying
neutral,palaniswami wins trust vote mlas voting govt chaotic day earlier
positive,thanks update
positive,nice man apprecaite im new twitter didnt know
negative,anything sorry man patsy generally
positive,two fantastic shows row
neutral,coffee time
neutral,hours refusal upon realisation tomorrow`s morrissey gig brixton postponed looking fwd monthsish
neutral,sims owns life lately lol want get sims computer can`t support
positive,going bed today another good uneventful day
neutral,bed watching rove
negative,bag delivered items stolen first look kate spade bag bottle spiced rum wtf
positive,selena youre awesome ] cant wait hear first cd
positive,bless lil socks think need rethink age thing
negative,damn wish could get u iphone could imessage dont enough money damn damm damn
negative,expect us spend hard earn fly make exceptions extra call volume however never make acpt
positive,guys serious question song like cds honest know won`t reply maria
positive,wish lived forksis forks real place edward lives forks
positive,thanks recent follow much appreciated happy want
negative,pretty ridiculous phx sky harbor employees working check sunday afternoon min amp counting
negative,wanna help reimburse money cause band lose
negative,awww hates wen families brokun humuns maybee see agin wun day
negative,cant leave tarmac uniteds gate agent cannot agree head count min counting people max epicfailunited
neutral,luck
negative,flt san jose ca gt denver co delayed hrs easily best flight touchdown years flying keep
positive,yeah happy moved partying happy
negative,don`t feel good
negative,way im planning ive ben waiting line customer service phxfor hour
negative,ye miss unhappy
neutral,apples pt raised canaccord genuity buy rating aapl aapl
neutral,happen maids quit
negative,glad wanted help didnt agent call rant shitty service every day
positive,boom boom powoops
negative,ugh i`m tired waitin bus good morning
neutral,_pyee sure
negative,_ yeah sorry busy last night ill try go next week
negative,min ewr baggage claim stillnobags ridiculous
negative,picture unhappy
negative,nnnaaa uhhhh playah shawty aint got nun maybe ur phone mines wanted hit u left studio
negative,grinding skyguard rep less awful anticipated yet still awful last tabard need
positive,texts happy ive got issue
negative,hang im starting think personal
positive,saw tour months ago boston good glad finally got see
negative,don`t think im feeling well sudden im tired scared fall asleep cuz know wake sick
negative,new mkt strategy average like rest whathappend rr points devalued
positive,love hot policemen come work
negative,three hour delay miami london none flights today delayed put another flight
positive,morning people woke
positive,partied long hardgoodnight twitter see ya mornin
positive,hard see best friend another girl happy
positive,check page subcribe updating soon
positive,thank u leaving nice job running thru airport catch connecting flight
positive,thanks
positive,goodness another hit another run
negative,help finding baggage reply asap direct details
neutral,oh yea yea yea eating tonite woo eating tonight eating tonite diet finding nemo
positive,thanks babe guess find right person one day til i`m better alone
neutral,_m
positive,missing flight reflight booking problems x walked onto another flight phone still seat
neutral,kind glad never started kings one less thing upset
neutral,yeah happens phx airport extra long waits spring long something locals know tourist dont fyi
negative,resolved im sick tired waiting want refund id like speak someone
negative,rebooked bos uggh hour bus wmass home could flown bdl amp back dc time unitedairlines
neutral,august anberlin they`re headlining though yes perth show
positive,look found
negative,want fun plans weekend unhappy
positive,would love fly best friend home pvd weekend
negative,ryanseacrest hi might problem says stream online wat`s right
negative,u cld explain disorganized inefficient company w surly obviously unhappy employees stays business
neutral,i`m hungry want scrambled eggs grandma always makes perfect scrambled eggs mum sucks i`ll go make
negative,feeling today way stressful
neutral,hate june gloom getting excited beach
neutral,aapl dip momentarilyjust aberration equity worldaapl
positive,hackers always win cant fight ultimately going happen spbpc spbpuk
positive,_henrie hey david you`re hot
negative,rl serius
negative,going transfer car airport couldnt get
neutral,i`m going estonia woohoo
negative,ur response inconvenience matter u wanted sit xtra nights city wout comp donotflyusair
negative,studio ft one outlet computers need batteries future
negative,valid circle pacific itineraries booked either always makes us dest invalid last leg
neutral,apple fibonacci technicals levels intraday update aapl aapl
positive,ironclad determination
negative,hours rebook hours lr problem arrive gate stopped cause infant sitting yr old lap
negative,says owe
positive,ok reading highly unlikely dont care cuz cant sleepsuggestionif go awayjust thought
negative,time going slow
neutral,getting ready drop something man hang friend instead
positive,sorry didn`t make good luck next time though
neutral,studio ft one outlet computers need batteries future
positive,good idea i`ll remove old receipts tissue paper nonsense take pic
neutral,oh yesi think almost every tuesday june dresss bought one felt guilty took back
neutral,working close
positive,wonder celebs google headshots profile pic cant wait see movie btw
neutral,apple macbook tech
negative,unfriendly screw family hates kids moms waiting ua pray better fyvrfn due agent error tickt
negative,lololi trying morning sadly couldnt
negative,don`t feel good eating food ugh
negative,still haven`t club lots bars though don`t think i`m missing much
neutral,truth maxwell can`t forget future father children
neutral,mattcuttscom domain umzug und neues design
neutral,want steak
neutral,well yeah mom doesn`t wanna drive way sac far away
neutral,what`s follow friday lol
neutral,awe wit snap fingers n nod head ur rain gone lolthxs hit afterwards
positive,two hours i`m setting mile drive home mostly i`m hoping goes quickly
neutral,chase says referral bonus thanks
negative,get new crystal ball cancelled flight flights weather hits rebook flight looking like nights hotel
negative,write real looking paper letter done one long time sad really
positive,thank tried said didnt anywhere else try
positive,cuppa chilling lovebank holiday mondays
negative,wolverine boss seriously william
positive,odd little thing isnt another planet think like
